Timestamp,Distance_cm
22:58:21.896,400
22:58:22.003,98
22:58:22.129,98
22:58:22.253,400
22:58:22.377,99
22:58:22.502,400
22:58:22.626,96
22:58:22.750,400
22:58:22.874,97
22:58:22.997,100
22:58:23.121,100
22:58:23.244,100
22:58:23.367,400
22:58:23.489,97
22:58:23.612,97
22:58:23.735,103
22:58:23.862,96
22:58:23.987,99
22:58:24.111,97
22:58:24.266,102
22:58:24.391,100
22:58:24.514,21
22:58:24.638,21
22:58:24.777,15
22:58:24.917,12
22:58:25.055,8
22:58:25.196,12
22:58:25.319,400
22:58:25.457,400
22:58:25.597,400
22:58:25.723,400
22:58:25.863,20
22:58:26.004,7
22:58:26.144,7
22:58:26.283,9
22:58:26.424,8
22:58:26.563,11
22:58:26.704,400
22:58:26.845,10
22:58:26.987,400
22:58:27.127,12
22:58:27.267,23
22:58:27.406,400
22:58:27.547,8
22:58:27.689,8
22:58:27.829,8
22:58:27.968,400
22:58:28.109,8
22:58:28.249,9
22:58:28.390,9
22:58:28.530,400
22:58:28.684,400
22:58:28.825,21
22:58:28.980,7
22:58:29.121,10
22:58:29.262,400
22:58:29.400,100
22:58:29.554,19
22:58:29.695,400
22:58:29.836,9
22:58:29.992,97
22:58:30.131,400
22:58:30.270,400
22:58:30.409,400
22:58:30.550,13
22:58:30.691,96
22:58:30.846,400
22:58:31.000,6
22:58:31.152,400
22:58:31.293,20
22:58:31.433,18
22:58:31.574,7
22:58:31.712,9
22:58:31.851,13
22:58:32.004,15
22:58:32.141,15
22:58:32.282,16
22:58:32.470,18
22:58:32.625,7
22:58:32.767,24
22:58:32.906,14
22:58:33.071,16
22:58:33.218,13
22:58:33.373,19
22:58:33.514,7
22:58:33.652,10
22:58:33.806,17
22:58:33.946,13
22:58:34.087,27
22:58:34.227,22
22:58:34.381,96
22:58:34.537,10
22:58:34.678,15
22:58:34.818,14
22:58:34.959,12
22:58:35.112,400
22:58:35.251,12
22:58:35.408,6
22:58:35.545,20
22:58:35.685,12
22:58:35.839,400
22:58:35.994,400
22:58:36.139,8
22:58:36.291,7
22:58:36.447,101
22:58:36.603,14
22:58:36.754,9
22:58:36.895,400
22:58:37.051,100
22:58:37.346,8
